Questions,Option_1,Option_2,Option_3,Option_4,Answer,Explaination,Subject,Series
Study the following cases : (i) CuSO4 + Mg ⎯→⎯ (ii) FeSO4 + Pb ⎯→⎯ (iii) CaSO4 + Al ⎯→⎯ (iv) ZnSO4 + Ca ⎯→⎯ The case/cases in which new product(s) will form is/are,Only (i),Only (iii),(i) and (iv),(i),(i) and (iv),The scientific principle described in “Study the following cases i CuSO4 Mg” supports (i) and (iv).,Science,3EGFH
The part of the hind -brain controlling involuntary actions such as salivation and vomiting in humans is,Cerebellum,Cerebrum,Pons,Medulla,Medulla,The scientific principle described in “The part of the hind brain controlling” supports Medulla.,Science,3EGFH
The strength of the magnetic field produced inside a current carrying long straight solenoid does not depend upon,Area of cross-section of the tube of the solenoid,Number of turns per unit length in the solenoid,Direction of current flowing through the coil of the solenoid,Material of the core of the solenoid,Direction of current flowing through the coil of the solenoid,The stated electricity or magnetism rule gives Direction of current flowing through the coil of the solenoid.,Science,3EGFH
"In domestic electric circuits, the colour of insulation covers of wires in the cables of electric iron/electric toaster is generally","red for live wire, green for neutral wire and black for earth wire","red for live wire, black for neutral wire and green for earth wire","green for live wire, black for neutral wire and red for earth wire","green for live wire, red for neutral wire and black for earth wire","red for live wire, black for neutral wire and green for earth wire","The stated electricity or magnetism rule gives red for live wire, black for neutral wire and green for earth wire.",Science,3EGFH
Parasitic mode of nutrition is observed in,Bryophyllum,Hibiscus,Cuscuta,Helianthus,Cuscuta,The scientific principle described in “Parasitic mode of nutrition is observed in” supports Cuscuta.,Science,3EGFH
Select the correct statement from the following,The size of the molecules of air is larger than the wavelength of visible light.,The blue light has a wavelength about 1∙8 times greater than that of red light.,"When sunlight passes through the fine particles in air, they scatter the blue colour of visible light more strongly than red.",The light of red colour is scattered the most by fog or smoke.,"When sunlight passes through the fine particles in air, they scatter the blue colour of visible light more strongly than red.","The scientific principle described in “Select the correct statement from the following” supports When sunlight passes through the fine particles in air, they scatter the blue colour of visible light more strongly than red..",Science,3EGFH
The growth of the pollen tubes towards ovules is an example of,Phototropism,Hydrotropism,Geotropism,Chemotropism,Chemotropism,The scientific principle described in “The growth of the pollen tubes towards” supports Chemotropism.,Science,3EGFH
Solid Calcium oxide reacts vigorously with water to form Calcium hydroxide accompanied by the liberation of heat. From the information given above it may be concluded that this reaction,is endothermic and pH of the solution formed is more than,is exothermic and pH of the solution formed is,is endothermic and pH of the solution formed is,is exothermic and pH of the solution formed is more than,is exothermic and pH of the solution formed is,The chemical property or reaction shown identifies is exothermic and pH of the solution formed is.,Science,A2DDC/2
"In human respiratory system, when a person breathes in, the position of ribs and diaphragm will be",lifted ribs and curve/dome shaped diaphragm.,lifted ribs and flattened diaphragm.,relaxed ribs and flattened diaphragm.,relaxed ribs and curve/dome shaped diaphragm. Which of the following statement(s) is (are) true about human heart ?,lifted ribs and curve/dome shaped diaphragm.,The chemical property or reaction shown identifies lifted ribs and curve/dome shaped diaphragm..,Science,A2DDC/2
A ray of light is incident on a plane mirror at an angle of incidence of 15º. The deviation in the ray produced by the mirror is,30º,60º,120º,150º,150º,The applicable optics principle identifies 150º.,Science,C3ABD/1
"Consider the following statements : i. Ciliary muscles adjust for changing the intensity of light entering the eye. ii. Myopic eye can be corrected by converging lenses of suitable power. iii. The function of the pupil is to regulate the quantity of light entering the eye. iv. When ciliary muscles are completely relaxed, the focal length of the eye lens is maximum. The correct statements are","i, ii and iv","i, ii and iii",iii and iv,ii and iv,iii and iv,The applicable optics principle identifies iii and iv.,Science,C3ABD/1
"For an object, a convex mirror always forms an image which is","Virtual, erect and magnified","Virtual, erect and diminished","Virtual, inverted and diminished","Real, erect and diminished","Virtual, erect and diminished","The applicable optics principle identifies Virtual, erect and diminished.",Science,C3ABD/1
The total resistance of the combination is,25,100,16,340,25,The stated electricity or magnetism rule gives 25.,Science,C3ABD/1
"Two resistors of 1 and 3 are connected in parallel in a circuit. If a current of 1 ampere is flowing through the circuit, the current flowing through the 3 resistor is",1·0 ampere,0·75 ampere,0·33 ampere,0·25 ampere,0·25 ampere,The stated electricity or magnetism rule gives 0·25 ampere.,Science,C3ABD/1
"How will the image formed by a convex lens be affected, if the upper half of the lens is wrapped with a black paper?",The image size becomes half.,The upper half of the object is not imaged.,The brightness of the image reduces.,The lower half of the inverted image is not formed.,The brightness of the image reduces.,The applicable optics principle identifies The brightness of the image reduces..,Science,CABD5/5
"A metal X is used in the thermit process. When X is heated with oxygen, it forms an amphoteric oxide Y. X and Y respectively are","Mn, MnO2","Al, Al2O3","Fe, Fe2O3","Mg, MgO","Al, Al2O3","The chemical property or reaction shown identifies Al, Al2O3.",Science,CABD5/5
"A uniform magnetic field exists in the plane of paper as shown in the diagram. In this field, an electron (e) and a positron (p+) enter as shown. The electron and positron experience forces",both pointing into the plane of the paper.,both pointing out of the plane of the paper.,pointing into the plane of the paper and out of the plane of the paper respectively.,pointing out of the plane of the paper and into the plane of the paper respectively.,both pointing into the plane of the paper.,The stated electricity or magnetism rule gives both pointing into the plane of the paper..,Science,CABD5/5
Identify an involuntary action from the following,Riding a bicycle,Picking up a pencil,Regular beating of heart,Walking in a straight line,Regular beating of heart,The scientific principle described in “Identify an involuntary action from the following” supports Regular beating of heart.,Science,CABD5/5
The current carrying device which produces a magnetic field similar to that of a bar magnet is,A straight conductor,A circular loop,A solenoid,A circular coil,A solenoid,The stated electricity or magnetism rule gives A solenoid.,Science,CABD5/5
Which of the following is not a thermal decomposition reaction?,2 FeSO4 Fe2O3 + SO2 + SO3,CaCO3 CaO + CO2,2 AgCl 2 Ag + Cl2,Pb(NO3)2 2 PbO + 4 NO2 + O2,2 AgCl 2 Ag + Cl2,The chemical property or reaction shown identifies 2 AgCl 2 Ag + Cl2.,Science,CABD5/5
Which one of the following is not a natural ecosystem?,Pond ecosystem,Grassland ecosystem,Forest ecosystem,Cropland ecosystem,Cropland ecosystem,Energy flow and nutrient cycling make Cropland ecosystem correct.,Science,CABD5/5
The incorrect statement about placenta is,It is a disc embedded in the uterine wall.,It contains villi on the embryo’s side of the tissue.,It has a very small surface area for glucose and oxygen to pass from mother to embryo.,The embryo gets nutrition from the mother’s blood through it.,It has a very small surface area for glucose and oxygen to pass from mother to embryo.,The described biological process supports It has a very small surface area for glucose and oxygen to pass from mother to embryo..,Science,CABD5/5
A metal and a non-metal that exists in liquid state at the room temperature are respectively,Bromine and Mercury,Mercury and Iodine,Mercury and Bromine,Iodine and Mercury,Mercury and Bromine,The chemical property or reaction shown identifies Mercury and Bromine.,Science,D3CBA/1
A stoma closes when: (i) it needs carbon dioxide for photosynthesis; (ii) it does not need carbon dioxide for photosynthesis; (iii) water flows out of guard cells; (iv) water flows into guard cells. The correct reasons are,(i) only,(i) and (iii),(ii) and (iii),(ii) and (iv),(ii) and (iii),The described biological process supports (ii) and (iii).,Science,D3CBA/1
Carbon compounds: (i) are good conductors of electricity; (ii) are bad conductors of electricity; (iii) have strong intermolecular forces; (iv) have weak intermolecular forces. The correct statements are,(i) and (ii),(ii) and (iii),(ii) and (iv),(i) and (iii),(ii) and (iv),The chemical property or reaction shown identifies (ii) and (iv).,Science,D3CBA/1
Consider the following statements : (i) The sex of a child is determined by what it inherits from the mother. (ii) The sex of a child is determined by what it inherits from the father. (iii) The probability of having a male child is more than that of a female child. (iv) The sex of a child is determined at the time of fertilisation when male and female gametes fuse to form a zygote. The correct statements are,(i) and (iii),(ii) and (iv),(iii) and (iv),(i) and (ii),(ii) and (iv),The described biological process supports (ii) and (iv).,Science,D3CBA/1
"When 2 mL of sodium hydroxide solution is added to few pieces of granulated zinc in a test tube and then warmed, the reaction that occurs can be written in the form of a balanced chemical equation as",NaOH + Zn → NaZnO2 + H2O,2NaOH + Zn → Na2ZnO2 + H2,2NaOH + Zn → NaZnO2 + H2,2NaOH + Zn → Na2ZnO2 + H2O,2NaOH + Zn → Na2ZnO2 + H2,The chemical property or reaction shown identifies 2NaOH + Zn → Na2ZnO2 + H2.,Science,D3CBA/1
Consider the following compounds : FeS04 ; cuS04 ; CaS04 ; Na2C03 The compound having maximum number of water of crystallisation in its crystalline form in one molecule is,FeSO4,CuSO4,CaSO4,Na2CO3,Na2CO3,The scientific principle described in “Consider the following compounds FeS04 cuS04 CaS04” supports Na2CO3.,Science,D3CBA/1
"In which of the following organisms, multiple fission is a means of asexual reproduction?",Yeast,Leishmania,Paramecium,Plasmodium,Plasmodium,The described biological process supports Plasmodium.,Science,D3CBA/1
Which one of the following statements is NOT true?,DNA carries hereditary information from parents to the next generation.,DNA provides information for making proteins.,A change in DNA information can lead to different proteins.,Features remain the same even if the protein changes.,Features remain the same even if the protein changes.,The scientific principle described in “Which one of the following statements is” supports Features remain the same even if the protein changes..,Science,D3CBA/1
MnO2 + 4HCl → MnCl2 + 2H2O + Cl2 is a redox reaction because,MnO2 is oxidised and HCl is reduced.,Only HCl is oxidised.,Only MnO2 is reduced.,MnO2 is reduced and HCl is oxidised.,MnO2 is reduced and HCl is oxidised.,The chemical property or reaction shown identifies MnO2 is reduced and HCl is oxidised..,Science,D3CBA/1
"Absolute refractive index of glass and water is 23 and 34 respectively. If the speed of light in glass is 2 108 m/s, the speed of light in water is",49 108 m/s,25 108 m/s,37 108 m/s,916 108 m/s,49 108 m/s,The applicable optics principle identifies 49 108 m/s.,Science,D4CBA/4
Consider the following combinations of resistors : The combinations having equivalent resistance 1 is/are,I and IV,Only IV,I and II,"I, II and III",I and IV,The stated electricity or magnetism rule gives I and IV.,Science,D4CBA/4
"When a beam of white light passes through a region having very fine dust particles, the colour of light mainly scattered in that region is",Red,Orange,Blue,Yellow,Red,The applicable optics principle identifies Red.,Science,D4CBA/4
"A chemical reaction in which exchange of ions occurs between the reactants, is known as",Endothermic Reaction,Exothermic Reaction,Double Displacement Reaction,Displacement Reaction,Double Displacement Reaction,The chemical property or reaction shown identifies Double Displacement Reaction.,Science,D4CBA/4
"A rectangular loop ABCD carrying a current I is situated near a straight conductor XY, such that the conductor is parallel to the side AB of the loop and is in the plane of the loop. If a steady current I is established in the conductor as shown, the conductor XY will",remain stationary.,move towards the side AB of the loop.,move away from the side AB of the loop.,rotate about its axis.,remain stationary.,The stated electricity or magnetism rule gives remain stationary..,Science,D4CBA/4
Some wastes are given below : (i) Garden waste (ii) Ball point pen refills (iii) Empty medicine bottles made of glass (iv) Peels of fruits and vegetables (v) Old cotton shirt The non-biodegradable wastes among these are,(i) and (ii),(ii) and (iii),"(i), (iv) and (v)",(i),(i) and (ii),The scientific principle described in “Some wastes are given below i Garden” supports (i) and (ii).,Science,D4CBA/4
The acid produced in our stomach during digestion and the base used to neutralise the excess acid during indigestion respectively are,"HCl, Mg(OH)2","HCl, Ca(OH)2","Amino acids, Ca(OH)2","Lactic acid, Mg(OH)2","Amino acids, Ca(OH)2","The described biological process supports Amino acids, Ca(OH)2.",Science,D4CBA/4
The part of the flower which attracts insects for pollination is/are,Stigma and style,Sepals and petals,Petals only,Sepals only,Stigma and style,The scientific principle described in “The part of the flower which attracts” supports Stigma and style.,Science,D4CBA/4
Application of Abscisic acid on plants promotes,Development of fruit s,Wilting of leaves,Elongation of stem,Formation of flower s,Wilting of leaves,The described biological process supports Wilting of leaves.,Science,EFGH/S
"Consider the reactions of dil. hydrochloric acid with the following metals : Aluminium, Copper, Iron, Magnesium and Zinc The correct observation is",Most vigorous reaction with aluminium and no reaction with iron,Most vigorous reaction with magnesium and no reaction with iron,Most vigorous reaction with magnesium and no reaction with copper,Most vigorous reaction with zinc and no reaction with copper,Most vigorous reaction with magnesium and no reaction with copper,The chemical property or reaction shown identifies Most vigorous reaction with magnesium and no reaction with copper.,Science,EFGH/S
"From the following, select a process in which combination reaction occurs",Black and white photography,Burning of carbon (coal),Burning of methane,Refining of co pper,Burning of carbon (coal),The chemical property or reaction shown identifies Burning of carbon (coal).,Science,EFGH/S
"In garden pea, violet colour flower is the dominant trait over white colour flower which is the recessive trait . When parent plant with violet coloured flowers (Vv) is crossed with a parent plant with white flowers, the possible percentage of occur r ence of traits in the F1 progeny would be",100% viol et,"50% violet, 50% white","25% violet, 75% white","75% violet, 25% white","50% violet, 50% white","The described biological process supports 50% violet, 50% white.",Science,EFGH/S
Select exothermic processes from the following : (i) Dilution of acid (ii) Burning of natural gas (iii ) Evaporation of water (iv) Electrolysis of water,(i) and (ii),(ii) and (iii),(iii) and (iv),(i) and (iv),(i) and (ii),The chemical property or reaction shown identifies (i) and (ii).,Science,EFGH/S
The end product of meiosis in a reproductive cell in plants is,Zygote,Pollen grains,Sperms,Egg,Pollen grains,The described biological process supports Pollen grains.,Science,EFGH/S
The most malleable metals are,Iron and gold,Copper and silver,Silver and gold,Gold and copper,Silver and gold,The chemical property or reaction shown identifies Silver and gold.,Science,EFGH/S
The part of the hindbrain present immediately above the medulla is,Cerebellum,Pons,Cerebrum,Spinal cord,Pons,The scientific principle described in “The part of the hindbrain present immediately” supports Pons.,Science,EFGH/S
The valves in the human heart ensure that : (i) Oxygen - rich blood flows from left atrium to left ventricle only . (ii) Deoxygenated blood flows from left atrium to left ventricle only . (iii) Oxygen - rich blood flows from right atrium to right ventricle only . (iv) Deoxygenated blood flows from right atrium to right ventricle only .,(i) and (iii),(ii) and (iv),(i) and (iv),(ii) and (iii),(i) and (iv),The scientific principle described in “The valves in the human heart ensure” supports (i) and (iv).,Science,EFGH/S
Breakdown of proteins in the stomach takes place by the enzyme,Trypsin,Lipase,Salivary Amylase,Pepsin,Pepsin,The described biological process supports Pepsin.,Science,EFGH/S
"Consider the following cases : (i) CaSO 4 + Mg (ii) CuSO 4 + Ca (iii) ZnSO 4 + Fe (iv) FeSO 4 + Zn The cases in which new products will form , are",(i) and (ii),(ii) and (i v ),(iii) and (i v ),(ii) and (iii),(ii) and (i v ),The scientific principle described in “Consider the following cases i CaSO 4” supports (ii) and (i v ).,Science,EFGH/S
"The n umber of single and double bonds present in a molecule of benzene (C 6 H 6 ) respectively, are",3 and 3,3 and 6,6 and 9,3 and 9,3 and 9,The scientific principle described in “The n umber of single and double” supports 3 and 9.,Science,EFGH/S
The unit of heredity is,Chromosome,Chromatin,Gene,DNA,Gene,The scientific principle described in “The unit of heredity is” supports Gene.,Science,EFGH/S
Which one of the following statements is incorrect about the effect on our environment as a result of our activities?,Improvement in our lifestyle has resulted in greater amounts of waste.,Packaging of materials has resulted in lesser amount of non - biodegradable waste.,Use of disposable cups/kulhads results in loss of fertile topsoil.,Harmful wastes that are non - biodegradable persist in the environment for a long time.,Packaging of materials has resulted in lesser amount of non - biodegradable waste.,The scientific principle described in “Which one of the following statements is” supports Packaging of materials has resulted in lesser amount of non - biodegradable waste..,Science,EFGH/S
Oxides of aluminium and zinc are,Acidic,A mphoteric,Basic,Neutral,A mphoteric,The chemical property or reaction shown identifies A mphoteric.,Science,EFGH/S
Select from the following decomposition reactions in which the source of energy for decomposition is heat : (i) CaCO 3 ⎯→ CaO + CO 2 (ii) 2H 2 O ⎯ → 2H 2 + O 2 (iii) 2AgBr ⎯→ 2Ag + Br 2 (iv) 2FeSO 4 ⎯ → Fe 2 O 3 + SO 2 + SO 3,(i) and (ii),(ii) and (iii),(iii) and (iv),(i) and (iv),(i) and (iv),The chemical property or reaction shown identifies (i) and (iv).,Science,EFGH/S
A hydrocarbon which is different from the other three is,C 7 H 16,C 5 H 10,C 2 H 6,CH 4,C 5 H 10,The scientific principle described in “A hydrocarbon which is different from the” supports C 5 H 10.,Science,EFGH/S
Consider the following cases/reactions : ( i ) CuSO 4 + Al → ( ii ) CaSO 4 + Mg → ( iii ) FeSO 4 + Pb → ( iv ) ZnSO 4 + Ca → The cases/reactions in which new products will form are,(i) and (iv),(i) and (ii),(ii) and (iii),(i),(i) and (iv),The chemical property or reaction shown identifies (i) and (iv).,Science,EFGH/S
In which one of the following decomposition reaction s energy is released?,Electrolysis of water,Decomposition of silver chloride,Decomposition of vegetable matter into compost,Decomposition of lead nitrate,Decomposition of vegetable matter into compost,The chemical property or reaction shown identifies Decomposition of vegetable matter into compost.,Science,EFGH/S
Juice of tamarind turns blue litmus to red. It is because of the presence of an acid called,oxalic acid,lactic acid,methanoic acid,tartaric acid,tartaric acid,The chemical property or reaction shown identifies tartaric acid.,Science,EFGH/S
One formula unit of which one of the following salts has seven molecules of water of crystalli s ation?,CaSO 4,CuSO 4,FeSO 4,Na 2 CO 3,FeSO 4,The scientific principle described in “One formula unit of which one of” supports FeSO 4.,Science,EFGH/S
Select the correct statement s from the following about the human heart : ( i ) Right atrium receives oxygenated blood fr o m lungs through pulmonary artery. (ii ) Right atrium receives deoxygenated blood through vena cava from upper and lower body. (iii ) Left atrium transfers oxygenated blood to left ventricle which sends it to various parts of the body. (iv) Left atrium transfers oxygenated blood to aorta which sends it to various parts of the body.,(i) and (ii),(ii) and (iii),(iii) and (iv),(i) and (iv),(ii) and (iii),The scientific principle described in “Select the correct statement s from the” supports (ii) and (iii).,Science,EFGH/S
The chemical reaction of solid calcium oxide with water is,exothermic and the pH of the solution formed is less than,endothermic and the pH of the solution formed is less than,endothermic and the pH of the solution formed is more than,exothermic and the pH of the solution formed is more than,exothermic and the pH of the solution formed is more than,The chemical property or reaction shown identifies exothermic and the pH of the solution formed is more than.,Science,EFGH/S
Which one of the following oxides reacts with HCl as well as NaOH to form corresponding salt and water?,CaO,Al 2 O 3,Fe 3 O 4,K 2 O,Al 2 O 3,The chemical property or reaction shown identifies Al 2 O 3.,Science,EFGH/S
In which one of the following situations a chemical reaction does not occur?,Milk is left open at room temperature during summer,Grapes get fermented,An iron nail is left exposed to humid atmosphere,Melting of glaciers In order to prepare dry hydrogen chloride gas in humid atmosphere the gas produced is passed through a guard tube (drying tube) which contains : 1,Melting of glaciers In order to prepare dry hydrogen chloride gas in humid atmosphere the gas produced is passed through a guard tube (drying tube) which contains : 1,The chemical property or reaction shown identifies Melting of glaciers In order to prepare dry hydrogen chloride gas in humid atmosphere the gas produced is passed through a guard tube (drying tube) which contains : 1.,Science,EFHG4
The property by virtue of which a solid material can be drawn into thin wires is called •,malleability,ductility,rigidity,resistivity Select from the following a hydrocarbon having one C—C bond and one bond,ductility,The scientific principle described in “The property by virtue of which a” supports ductility.,Science,EFHG4
Which one of the following gets biomagnified at different levels in a food chain?,Carbon monoxide,CFC's,DDT,Manure,DDT,Energy flow and nutrient cycling make DDT correct.,Science,EFHG4
In the food chains given below. Select the most efficient food chain in terms of energy,Grass Grasshopper Frog Snake,Plants —Y Deer —5 Lion,Plants Man,"Phytoplankton Zooplankton —+ Small Fish —+ Big Fish An optical device 'X' is placed obliquely in the path of a narrow parallel beam of light. If the emergent beam gets displaced laterally, the device",Grass Grasshopper Frog Snake,Energy flow and nutrient cycling make Grass Grasshopper Frog Snake correct.,Science,EFHG4
"To get an image of magnification —I on a screen using a lens of focal length 20 cm, the object distance must be",Less than 20 cm,30 cm,40 cm,"80 cm When a pure-tall pea plant is crossed with a pure-dwarf pea plant, the percentage of tall pea plants in Fl and F2 generation pea plants will be respectively : 1",40 cm,The applicable optics principle identifies 40 cm.,Science,EFHG4
Which one of the following has half the number of chromosomes and half the amount of DNA as compared to the non-reproductive body cells?,Male germ cell,Female germ cell,Zygote,"Both, male and female germ cells The essential element taken up from the soil by the plants to synthesize proteins is",Female germ cell,The described biological process supports Female germ cell.,Science,EFHG4
An element 'M' has 25% of the electrons filled in the third shell as in the second shell. The element 'M' is,Sodium,Magnesium,Aluminium,"Calcium An optical device 'X' is placed obliquely in the path of a narrow parallel beam of light. If the emergent beam gets displaced laterally, the device",Sodium,The scientific principle described in “An element M has 25% of the” supports Sodium.,Science,EFHG4
Select from the following a hydrocarbon having one C—C bond and one CEC bond,Benzene,Cyclohexane,Butyne,Propyne The essential element taken up from the soil by the plants to synthesize proteins is,Butyne,The scientific principle described in “Select from the following a hydrocarbon having” supports Butyne.,Science,EFHG4
"Select TRUE statements about lymph from the following : A. B. C. D. Lymph vessels carry lymph through the body and finally open into larger arteries. Lymph contains some amount of plasma, proteins and blood cells. Lymph contains some amount of plasma, proteins and red blood cells. Lymph vessels carry lymph through the body and finally open into larger veins. The true statements are",A and B,Band D,A and C,C and D Plants like rose and banana have lost the capacity to produce,A and C,The chemical property or reaction shown identifies A and C.,Science,EFHG4
"To get an image of magnification —l on a screen using a lens of focal length 20 cm, the object distance must be",Less than 20 cm,30 cm,40 cm,80 cm,40 cm,The applicable optics principle identifies 40 cm.,Science,EFHG4
Select from the following a statement which is not true about burning of magnesium ribbon in air,It burns with a dazzling white flame.,A white powder is formed on burning.,It is an endothermic reaction.,It is an example of a combination reaction. The water of crystallization is present in,It burns with a dazzling white flame.,The scientific principle described in “Select from the following a statement which” supports It burns with a dazzling white flame..,Science,GF6HE
Bryophyllum produces new plant through,Apical buds formed on the tip of the plant,Vegetative buds produced in the notches of the leaf,Flowers produced in the notches of the branches,Fruits formed on the branches of the plant,Vegetative buds produced in the notches of the leaf,The described biological process supports Vegetative buds produced in the notches of the leaf.,Science,GHF2E
Identify from the following a group containing all non -biodegradable substances.,"Leather, Glass, Plastic","Cotton, Wood, Nylon","DDT, Polyester, Glass","Leather, Silk, Wool","DDT, Polyester, Glass","The scientific principle described in “Identify from the following a group containing” supports DDT, Polyester, Glass.",Science,GHF2E
"If the absolute refractive indices of two media X and Y are 6 5 and 4 3 respectively, then the refractive index of Y with respect to X will be",10 9,9 10,9 8,8 9,10 9,The applicable optics principle identifies 10 9.,Science,GHF2E
In the given figure the angle of incidence and the angle of deviation respectively are,1 and 5,7 and 6,7 and 4,1 and 6,1 and 6,The scientific principle described in “In the given figure the angle of” supports 1 and 6.,Science,GHF2E
"Observe the given figures A and B. When chhui-mui (sensitive) plant is touched, its leaves fold. This is due to : Figure A Figure B",Hormonal effect,Thermal effect,Change in amount of water in cells,Electromagnetic effect,Change in amount of water in cells,The described biological process supports Change in amount of water in cells.,Science,GHF2E
One-cell thick blood vessels are known as,Alveoli,Capillaries,Arteries,Veins,Capillaries,The scientific principle described in “One cell thick blood vessels are known” supports Capillaries.,Science,GHF2E
The number of chromosomes in a cell division is halved. This kind of cell division is observed in,Only testis,Only ovary,Ovary and testis both,All cells of the body,Ovary and testis both,The scientific principle described in “The number of chromosomes in a cell” supports Ovary and testis both.,Science,GHF2E
The warning sign shown in the given figure must invariably be displayed/pasted on the containers which contain hydroxide of,Aluminium,Calcium,Sodium,Magnesium,Sodium,The chemical property or reaction shown identifies Sodium.,Science,GHF2E
Two metals zinc and tin are dissolved separately in definite proportions in molten copper (the primary metal) to obtain two different alloys respectively known as,Bronze and Brass,Brass and Solder,Brass and Bronze,Solder and Bronze,Brass and Bronze,The chemical property or reaction shown identifies Brass and Bronze.,Science,GHF2E
"A few pieces of granulated zinc are taken in a test tube and 2 mL of sodium hydroxide solution is added to it. When the contents are warmed, the product formed is",Na2ZnO,NaZnO2,Na2ZnO2,NaZn(OH)2,Na2ZnO2,The chemical property or reaction shown identifies Na2ZnO2.,Science,GHF2E
"In the human eye, most of the refraction for the light rays entering the eye occurs at the surface of",Cornea,Crystalline lens,Pupil,Aqueous humor,Cornea,The applicable optics principle identifies Cornea.,Science,GHF2E
The essential element used in the synthesis of proteins is,Nitrogen,Phosphorus,Iron,Magnesium,Nitrogen,The scientific principle described in “The essential element used in the synthesis” supports Nitrogen.,Science,GHF2E
The resistivity of a wire made of an alloy is generally,Lower than that of its constituent metals.,Higher than that of its constituent metals.,Decreases with increase in its area of cross-section.,Increases with increase in its length.,Higher than that of its constituent metals.,The scientific principle described in “The resistivity of a wire made of” supports Higher than that of its constituent metals..,Science,GHF2E
Which one of the following statements is not correct for the plants raised by vegetative propagation?,Can bear flowers and fruits earlier than those produced from seeds.,Those plants that have lost the capacity to produce seeds can be grown.,"As compared to the parent plant, vegetatively propagated plants show more variations.",All the plants produced in this way are genetically similar to the parent plant.,"As compared to the parent plant, vegetatively propagated plants show more variations.","The described biological process supports As compared to the parent plant, vegetatively propagated plants show more variations..",Science,GHF2E
"An electric bulb is connected to a power supply of 220 V. If the current drawn by the bulb from the supply is 500 mA, the power of the bulb is",11 W,110 W,220 W,1100 W,110 W,The stated electricity or magnetism rule gives 110 W.,Science,GHF2E
Select the correct option from the following statements about the functioning of the human heart.,Right atrium receives deoxygenated blood from different parts of the body and sends it to pulmonary veins.,Left atrium sends oxygenated blood to right ventricle which pumps it to different parts of the body.,Right atrium receives deoxygenated blood from the body and sends it to the right ventricle.,Left atrium receives oxygenated blood from the pulmonary arteries and sends it to the left ventricle.,Right atrium receives deoxygenated blood from the body and sends it to the right ventricle.,The scientific principle described in “Select the correct option from the following” supports Right atrium receives deoxygenated blood from the body and sends it to the right ventricle..,Science,GHF2E
The part of the human eye which can modify the curvature of the eye lens to some extent is,Pupil,Cornea,Ciliary muscles,Aqueous humour,Ciliary muscles,The applicable optics principle identifies Ciliary muscles.,Science,GHF2E
Which of the following is the correct sequence of parts of female reproductive system of flowering plants in terms of their placement?,"Stigma, ovule, ovary, style","Ovule, stigma, ovary, style","Style, stigma, ovule, ovary","Stigma, style, ovary, ovule","Stigma, style, ovary, ovule","The described biological process supports Stigma, style, ovary, ovule.",Science,GHF2E
Identify the endocrine gland that regulates the growth of human body.,Pituitary gland,Thyroid gland,Pancreas,Adrenal gland,Adrenal gland,The scientific principle described in “Identify the endocrine gland that regulates the” supports Adrenal gland.,Science,KL5NM
Identify the part that controls the closing and opening of the stomatal pore in leaves of plants. 1 Select the correct option.,Stomata,Epidermal cells,Guard cells,Chloroplasts,Guard cells,The described biological process supports Guard cells.,Science,KL5NM
"In an ecosystem, the decomposers perform an important role. Select the option indicating the role of decomposers.",Convert inorganic materials to simpler forms,Break down complex organic substances to simple inorganic substances.,Break down inorganic substances into organic substances.,Do not act on organic compounds.,Break down complex organic substances to simple inorganic substances.,Energy flow and nutrient cycling make Break down complex organic substances to simple inorganic substances. correct.,Science,KL5NM
"In human beings, the implantation of fertilised egg takes place in which part of female reproductive system?",Oviduct,Cervix,Uterus,Vagina { },Uterus,The described biological process supports Uterus.,Science,KL5NM
"When a human egg is fertilized by a sperm having ‘Y’ chromosome, the zygote has the following combination of chromosomes:",44 + XX,22 + XX,44 + XY,22 + XY,22 + XX,The scientific principle described in “When a human egg is fertilized by” supports 22 + XX.,Science,KL5NM
Which of the following is a non-biodegradable pollutant?,Paper,DDT,Wood,Vegetable peel,Vegetable peel,The scientific principle described in “Which of the following is a non” supports Vegetable peel.,Science,KL5NM
"In a synapse, the chemical signal is transmitted from:",Dendritic end of one neuron to axonal end of another neuron.,Axon to cell body of the same neuron.,Cell body to axonal end of the same neuron.,Axonal end of one neuron to dendritic end of another neuron. Bell-jar Watch-glass containing potassium hydroxide [ ],Axon to cell body of the same neuron.,The scientific principle described in “In a synapse the chemical signal is” supports Axon to cell body of the same neuron..,Science,LKN3M
"In accumulation of toxic substances at higher trophic levels of an ecosystem through the food chain, which of the following organisms is affected the most?",Small aquatic plants,Human beings,Small fish,Large fish,Human beings,Energy flow and nutrient cycling make Human beings correct.,Science,LKN3M
Observe the figure given below and identify the incorrect step for the activity set-up : 1 (I) (II),Both plants are kept in the dark room for three days before placing them in separate glass jars.,Both plants are covered with separate wooden bell-jars.,Use vaseline to seal the bottom of the jars with the glass plates.,Both potted plants were kept in sunlight for a few hours before the iodine test for the presence of starch.,Both plants are covered with separate wooden bell-jars.,The scientific principle described in “Observe the figure given below and identify” supports Both plants are covered with separate wooden bell-jars..,Science,LKN3M
Organisms of a higher trophic level which feed on several types of organisms belonging to a lower trophic level form the:,Food web,Ecosystem,Ecological pyramid,Food chain,Food web,Energy flow and nutrient cycling make Food web correct.,Science,LKN3M
